Family,Member,Original_Image_Name,Aligned_Image_Path,Detection_Score,Age,Detected_Gender,Name,True_Gender,Relationships
F0001,MID3,P00006_face0.jpg,data/processed/fiw/train/train-faces/F0001/MID3/P00006_face0.jpg,0.8033767,43,M,tareq,m,"[1, 1, 0, 2, 'tareq', 'm']"
F0001,unrelated_and_nonfaces,P00008_face6.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00008_face6.jpg,0.8609371,25,F,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00008_face0.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00008_face0.jpg,0.7938924,30,F,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00003_face4.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00003_face4.jpg,0.60115325,34,M,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00008_face5.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00008_face5.jpg,0.84595865,34,M,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00008_face1.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00008_face1.jpg,0.8110595,33,F,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00004_face2.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00004_face2.jpg,0.7065827,41,M,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00003_face2.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00003_face2.jpg,0.7654447,51,M,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00003_face1.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00003_face1.jpg,0.64379126,29,M,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00008_face8.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00008_face8.jpg,0.784973,19,F,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00008_face2.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00008_face2.jpg,0.86766475,20,F,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00002_face2.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00002_face2.jpg,0.6267094,24,F,Unknown,Unknown,[]
F0001,unrelated_and_nonfaces,P00008_face9.jpg,data/processed/fiw/train/train-faces/F0001/unrelated_and_nonfaces/P00008_face9.jpg,0.8636226,27,M,Unknown,Unknown,[]
F0001,MID2,P00001_face1.jpg,data/processed/fiw/train/train-faces/F0001/MID2/P00001_face1.jpg,0.8079197,37,F,amina,f,"[5, 0, 4, 4, 'amina', 'f']"
F0001,MID2,P00002_face1.jpg,data/processed/fiw/train/train-faces/F0001/MID2/P00002_face1.jpg,0.8093393,50,M,amina,f,"[5, 0, 4, 4, 'amina', 'f']"
F0001,MID2,P00004_face3.jpg,data/processed/fiw/train/train-faces/F0001/MID2/P00004_face3.jpg,0.82043076,53,M,amina,f,"[5, 0, 4, 4, 'amina', 'f']"
F0001,MID2,P00008_face7.jpg,data/processed/fiw/train/train-faces/F0001/MID2/P00008_face7.jpg,0.84425664,34,F,amina,f,"[5, 0, 4, 4, 'amina', 'f']"
F0001,MID2,P00003_face3.jpg,data/processed/fiw/train/train-faces/F0001/MID2/P00003_face3.jpg,0.8405925,40,F,amina,f,"[5, 0, 4, 4, 'amina', 'f']"
F0001,MID4,P00008_face3.jpg,data/processed/fiw/train/train-faces/F0001/MID4/P00008_face3.jpg,0.76802397,38,M,yasser,m,"[1, 1, 2, 0, 'yasser', 'm']"
F0001,MID4,P00006_face1.jpg,data/processed/fiw/train/train-faces/F0001/MID4/P00006_face1.jpg,0.85040236,48,M,yasser,m,"[1, 1, 2, 0, 'yasser', 'm']"
F0001,MID4,P00002_face3.jpg,data/processed/fiw/train/train-faces/F0001/MID4/P00002_face3.jpg,0.7919478,54,M,yasser,m,"[1, 1, 2, 0, 'yasser', 'm']"
F0001,MID1,P00008_face4.jpg,data/processed/fiw/train/train-faces/F0001/MID1/P00008_face4.jpg,0.77877796,56,M,madmoud,m,"[0, 5, 4, 4, 'madmoud', 'm']"
F0001,MID1,P00004_face1.jpg,data/processed/fiw/train/train-faces/F0001/MID1/P00004_face1.jpg,0.73092365,70,M,madmoud,m,"[0, 5, 4, 4, 'madmoud', 'm']"
F0001,MID1,P00002_face0.jpg,data/processed/fiw/train/train-faces/F0001/MID1/P00002_face0.jpg,0.8002504,76,M,madmoud,m,"[0, 5, 4, 4, 'madmoud', 'm']"
F0001,MID1,P00007_face1.jpg,data/processed/fiw/train/train-faces/F0001/MID1/P00007_face1.jpg,0.7604638,73,M,madmoud,m,"[0, 5, 4, 4, 'madmoud', 'm']"
F0001,MID1,P00003_face0.jpg,data/processed/fiw/train/train-faces/F0001/MID1/P00003_face0.jpg,0.7788984,77,M,madmoud,m,"[0, 5, 4, 4, 'madmoud', 'm']"
F0001,MID1,P00001_face0.jpg,data/processed/fiw/train/train-faces/F0001/MID1/P00001_face0.jpg,0.80428123,69,M,madmoud,m,"[0, 5, 4, 4, 'madmoud', 'm']"
F0002,MID2,P00010_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID2/P00010_face0.jpg,0.80636144,32,F,cecilia,f,"[5, 0, 4, 'cecilia', 'f']"
F0002,MID2,P00012_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID2/P00012_face0.jpg,0.8660881,36,F,cecilia,f,"[5, 0, 4, 'cecilia', 'f']"
F0002,MID2,P00018_face2.jpg,data/processed/fiw/train/train-faces/F0002/MID2/P00018_face2.jpg,0.8468251,39,F,cecilia,f,"[5, 0, 4, 'cecilia', 'f']"
F0002,MID2,P00015_face2.jpg,data/processed/fiw/train/train-faces/F0002/MID2/P00015_face2.jpg,0.6776702,36,F,cecilia,f,"[5, 0, 4, 'cecilia', 'f']"
F0002,MID2,P00009_face1.jpg,data/processed/fiw/train/train-faces/F0002/MID2/P00009_face1.jpg,0.83806884,47,F,cecilia,f,"[5, 0, 4, 'cecilia', 'f']"
F0002,MID2,P00016_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID2/P00016_face0.jpg,0.8452404,26,M,cecilia,f,"[5, 0, 4, 'cecilia', 'f']"
F0002,MID2,P00017_face1.jpg,data/processed/fiw/train/train-faces/F0002/MID2/P00017_face1.jpg,0.81836134,29,F,cecilia,f,"[5, 0, 4, 'cecilia', 'f']"
F0002,MID2,P00011_face1.jpg,data/processed/fiw/train/train-faces/F0002/MID2/P00011_face1.jpg,0.8231276,47,F,cecilia,f,"[5, 0, 4, 'cecilia', 'f']"
F0002,MID2,P00013_face2.jpg,data/processed/fiw/train/train-faces/F0002/MID2/P00013_face2.jpg,0.796217,33,F,cecilia,f,"[5, 0, 4, 'cecilia', 'f']"
F0002,MID1,P00011_face2.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00011_face2.jpg,0.86874163,55,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID1,P00009_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00009_face0.jpg,0.86900806,66,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID1,P00016_face1.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00016_face1.jpg,0.8312912,47,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID1,P00018_face1.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00018_face1.jpg,0.8214757,50,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID1,P00013_face3.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00013_face3.jpg,0.81564087,72,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID1,P00015_face1.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00015_face1.jpg,0.85007846,66,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID1,P00012_face1.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00012_face1.jpg,0.77642363,69,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID1,P00014_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00014_face0.jpg,0.8442974,71,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID1,P00017_face2.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00017_face2.jpg,0.82974726,46,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID1,P00010_face3.jpg,data/processed/fiw/train/train-faces/F0002/MID1/P00010_face3.jpg,0.84017634,68,M,greg,m,"[0, 5, 4, 'greg', 'm']"
F0002,MID3,P00009_face2.jpg,data/processed/fiw/train/train-faces/F0002/MID3/P00009_face2.jpg,0.8519643,47,F,audrey,f,"[1, 1, 0, 'audrey', 'f']"
F0002,MID3,P00015_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID3/P00015_face0.jpg,0.83444875,29,F,audrey,f,"[1, 1, 0, 'audrey', 'f']"
F0002,MID3,P00010_face2.jpg,data/processed/fiw/train/train-faces/F0002/MID3/P00010_face2.jpg,0.85212994,23,F,audrey,f,"[1, 1, 0, 'audrey', 'f']"
F0002,MID3,P00012_face2.jpg,data/processed/fiw/train/train-faces/F0002/MID3/P00012_face2.jpg,0.6328761,36,F,audrey,f,"[1, 1, 0, 'audrey', 'f']"
F0002,MID3,P00017_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID3/P00017_face0.jpg,0.784415,23,F,audrey,f,"[1, 1, 0, 'audrey', 'f']"
F0002,MID3,P00013_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID3/P00013_face0.jpg,0.768003,22,F,audrey,f,"[1, 1, 0, 'audrey', 'f']"
F0002,MID3,P00011_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID3/P00011_face0.jpg,0.8391812,27,F,audrey,f,"[1, 1, 0, 'audrey', 'f']"
F0002,MID3,P00014_face1.jpg,data/processed/fiw/train/train-faces/F0002/MID3/P00014_face1.jpg,0.7860343,12,F,audrey,f,"[1, 1, 0, 'audrey', 'f']"
F0002,MID3,P00018_face0.jpg,data/processed/fiw/train/train-faces/F0002/MID3/P00018_face0.jpg,0.86742616,40,F,audrey,f,"[1, 1, 0, 'audrey', 'f']"
F0002,unrelated_and_nonfaces,P00010_face6.jpg,data/processed/fiw/train/train-faces/F0002/unrelated_and_nonfaces/P00010_face6.jpg,0.8349367,62,M,Unknown,Unknown,[]
F0002,unrelated_and_nonfaces,P00010_face4.jpg,data/processed/fiw/train/train-faces/F0002/unrelated_and_nonfaces/P00010_face4.jpg,0.75970787,34,F,Unknown,Unknown,[]
F0002,unrelated_and_nonfaces,P00010_face1.jpg,data/processed/fiw/train/train-faces/F0002/unrelated_and_nonfaces/P00010_face1.jpg,0.7255587,34,M,Unknown,Unknown,[]
F0002,unrelated_and_nonfaces,P00015_face4.jpg,data/processed/fiw/train/train-faces/F0002/unrelated_and_nonfaces/P00015_face4.jpg,0.774414,49,M,Unknown,Unknown,[]
F0002,unrelated_and_nonfaces,P00015_face3.jpg,data/processed/fiw/train/train-faces/F0002/unrelated_and_nonfaces/P00015_face3.jpg,0.78915566,44,M,Unknown,Unknown,[]
F0002,unrelated_and_nonfaces,P00010_face5.jpg,data/processed/fiw/train/train-faces/F0002/unrelated_and_nonfaces/P00010_face5.jpg,0.7494024,24,F,Unknown,Unknown,[]
F0004,unrelated_and_nonfaces,P00041_face4.jpg,data/processed/fiw/train/train-faces/F0004/unrelated_and_nonfaces/P00041_face4.jpg,0.8485808,43,M,Unknown,Unknown,[]
F0004,unrelated_and_nonfaces,P00045_face1.jpg,data/processed/fiw/train/train-faces/F0004/unrelated_and_nonfaces/P00045_face1.jpg,0.60457164,52,M,Unknown,Unknown,[]
F0004,unrelated_and_nonfaces,P00033_face0.jpg,data/processed/fiw/train/train-faces/F0004/unrelated_and_nonfaces/P00033_face0.jpg,0.7181128,44,M,Unknown,Unknown,[]
F0004,unrelated_and_nonfaces,P00048_face8.jpg,data/processed/fiw/train/train-faces/F0004/unrelated_and_nonfaces/P00048_face8.jpg,0.62953603,40,M,Unknown,Unknown,[]
F0004,unrelated_and_nonfaces,P00048_face4.jpg,data/processed/fiw/train/train-faces/F0004/unrelated_and_nonfaces/P00048_face4.jpg,0.5744014,29,F,Unknown,Unknown,[]
F0004,unrelated_and_nonfaces,P00048_face6.jpg,data/processed/fiw/train/train-faces/F0004/unrelated_and_nonfaces/P00048_face6.jpg,0.6278163,33,F,Unknown,Unknown,[]
F0004,unrelated_and_nonfaces,P00033_face1.jpg,data/processed/fiw/train/train-faces/F0004/unrelated_and_nonfaces/P00033_face1.jpg,0.86166227,39,M,Unknown,Unknown,[]
F0004,unrelated_and_nonfaces,P00048_face7.jpg,data/processed/fiw/train/train-faces/F0004/unrelated_and_nonfaces/P00048_face7.jpg,0.68350273,34,F,Unknown,Unknown,[]
F0004,unrelated_and_nonfaces,P00048_face5.jpg,data/processed/fiw/train/train-faces/F0004/unrelated_and_nonfaces/P00048_face5.jpg,0.69526047,29,M,Unknown,Unknown,[]
F0004,MID7,P00048_face0.jpg,data/processed/fiw/train/train-faces/F0004/MID7/P00048_face0.jpg,0.7410242,25,F,dasha,f,"[5, 0, 0, 0, 0, 4, 0]"
F0004,MID7,P00047_face1.jpg,data/processed/fiw/train/train-faces/F0004/MID7/P00047_face1.jpg,0.819607,27,F,dasha,f,"[5, 0, 0, 0, 0, 4, 0]"
F0004,MID7,P00045_face2.jpg,data/processed/fiw/train/train-faces/F0004/MID7/P00045_face2.jpg,0.7609449,35,F,dasha,f,"[5, 0, 0, 0, 0, 4, 0]"
F0004,MID2,P00044_face0.jpg,data/processed/fiw/train/train-faces/F0004/MID2/P00044_face0.jpg,0.74242896,26,M,arkadiy,m,"[1, 0, 1, 2, 2, 0, 0]"
F0004,MID2,P00029_face0.jpg,data/processed/fiw/train/train-faces/F0004/MID2/P00029_face0.jpg,0.7501993,23,M,arkadiy,m,"[1, 0, 1, 2, 2, 0, 0]"
F0004,MID2,P00032_face1.jpg,data/processed/fiw/train/train-faces/F0004/MID2/P00032_face1.jpg,0.6983455,24,M,arkadiy,m,"[1, 0, 1, 2, 2, 0, 0]"
F0004,MID2,P00030_face0.jpg,data/processed/fiw/train/train-faces/F0004/MID2/P00030_face0.jpg,0.77392036,26,M,arkadiy,m,"[1, 0, 1, 2, 2, 0, 0]"
F0004,MID2,P00038_face2.jpg,data/processed/fiw/train/train-faces/F0004/MID2/P00038_face2.jpg,0.80650896,26,M,arkadiy,m,"[1, 0, 1, 2, 2, 0, 0]"
F0004,MID2,P00041_face2.jpg,data/processed/fiw/train/train-faces/F0004/MID2/P00041_face2.jpg,0.8081753,23,F,arkadiy,m,"[1, 0, 1, 2, 2, 0, 0]"
F0004,MID2,P00046_face1.jpg,data/processed/fiw/train/train-faces/F0004/MID2/P00046_face1.jpg,0.6877124,28,M,arkadiy,m,"[1, 0, 1, 2, 2, 0, 0]"
F0004,MID5,P00039_face0.jpg,data/processed/fiw/train/train-faces/F0004/MID5/P00039_face0.jpg,0.8075777,29,F,sofia,f,"[1, 2, 1, 2, 0, 0, 0]"
F0004,MID5,P00038_face3.jpg,data/processed/fiw/train/train-faces/F0004/MID5/P00038_face3.jpg,0.8171219,39,F,sofia,f,"[1, 2, 1, 2, 0, 0, 0]"
F0004,MID5,P00031_face1.jpg,data/processed/fiw/train/train-faces/F0004/MID5/P00031_face1.jpg,0.8061665,27,F,sofia,f,"[1, 2, 1, 2, 0, 0, 0]"
F0004,MID5,P00040_face0.jpg,data/processed/fiw/train/train-faces/F0004/MID5/P00040_face0.jpg,0.83571035,28,F,sofia,f,"[1, 2, 1, 2, 0, 0, 0]"
F0004,MID5,P00042_face0.jpg,data/processed/fiw/train/train-faces/F0004/MID5/P00042_face0.jpg,0.75911486,20,F,sofia,f,"[1, 2, 1, 2, 0, 0, 0]"
F0004,MID5,P00041_face0.jpg,data/processed/fiw/train/train-faces/F0004/MID5/P00041_face0.jpg,0.8269654,26,F,sofia,f,"[1, 2, 1, 2, 0, 0, 0]"
F0004,MID3,P00034_face1.jpg,data/processed/fiw/train/train-faces/F0004/MID3/P00034_face1.jpg,0.79102886,49,M,irina,f,"[5, 4, 0, 4, 4, 0, 0]"
