Family,Member,Total_Images,Avg_Similarity,Status
F0412,MID2,8,0.561414361000061,processed
F0412,MID1,8,0.6504760980606079,processed
F0412,MID3,5,0.6848782896995544,processed
F0052,MID4,6,0.6833389401435852,processed
F0052,MID3,5,0.6403079628944397,processed
F0052,MID1,9,0.6965482234954834,processed
F0166,MID4,7,0.606497585773468,processed
F0166,MID3,6,0.6976023316383362,processed
F0166,MID1,7,0.6414148211479187,processed
F0166,MID2,6,0.4928410053253174,processed
F0690,MID1,7,0.5580927729606628,processed
F0690,MID4,2,0.8069361448287964,processed
F0690,MID3,4,0.6945756077766418,processed
F0690,MID2,3,0.6005545258522034,processed
F0180,MID1,10,0.7365195155143738,processed
F0180,MID3,10,0.6677775382995605,processed
F0180,MID4,9,0.6723309755325317,processed
F0180,MID2,10,0.7267689108848572,processed
F0209,MID2,4,0.4932986795902252,processed
F0209,MID1,6,0.5732815265655518,processed
F0209,MID6,2,0.7300753593444824,processed
F0466,MID1,2,0.6776155233383179,processed
F0466,MID2,7,0.5172702670097351,processed
F0466,MID4,8,0.4408300518989563,processed
F0466,MID5,4,0.4760272800922394,processed
F0466,MID3,7,0.4008886218070984,processed
F0843,MID2,7,0.7231635451316833,processed
F0843,MID1,10,0.7016029357910156,processed
F0887,MID4,3,0.5100283026695251,processed
F0887,MID6,2,0.7475641965866089,processed
F0887,MID1,9,0.6634345650672913,processed
F0887,MID3,2,0.8575351238250732,processed
F0887,MID9,2,0.8975417613983154,processed
F0887,MID5,2,0.548392653465271,processed
F0066,MID5,9,0.5047317147254944,processed
F0066,MID3,8,0.5249583721160889,processed
F0066,MID1,11,0.7024128437042236,processed
F0066,MID4,6,0.5575531125068665,processed
F0066,MID2,11,0.6045240163803101,processed
F1018,MID6,5,0.6965934038162231,processed
F1018,MID3,10,0.6643431782722473,processed
F1018,MID8,10,0.6488944292068481,processed
F1018,MID7,10,0.6237174272537231,processed
F1018,MID2,11,0.6868314743041992,processed
F1018,MID1,11,0.6539822816848755,processed
F1018,MID4,10,0.6508536338806152,processed
F0263,MID3,4,0.4620804190635681,processed
F0263,MID1,9,0.5526742339134216,processed
F0263,MID2,5,0.647889256477356,processed
F0264,MID1,2,0.6472662687301636,processed
F0898,MID2,2,0.7555485963821411,processed
F0898,MID3,6,0.6210262775421143,processed
F0898,MID1,6,0.6508816480636597,processed
F0922,MID2,4,0.7325429320335388,processed
F0922,MID1,6,0.662356436252594,processed
F0922,MID3,8,0.556109607219696,processed
F0922,MID5,9,0.573872983455658,processed
F0922,MID4,4,0.5986278057098389,processed
F0604,MID3,5,0.5339692831039429,processed
F0604,MID2,2,0.808464765548706,processed
F0604,MID1,5,0.6189168691635132,processed
F0357,MID15,3,0.7745336890220642,processed
F0357,MID2,3,0.8516550064086914,processed
F0357,MID9,3,0.8491868376731873,processed
F0357,MID16,4,0.7470652461051941,processed
