threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
-1.0,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.95,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.8999999999999999,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.8499999999999999,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.7999999999999998,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.7499999999999998,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.6999999999999997,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.6499999999999997,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.5999999999999996,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.5499999999999996,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.49999999999999956,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.4499999999999995,0.5,0.5,1.0,0.6666666666666666,1000,0,1000,0
-0.39999999999999947,0.5005,0.5002501250625313,1.0,0.6668889629876625,1000,1,999,0
-0.3499999999999994,0.501,0.5005005005005005,1.0,0.66711140760507,1000,2,998,0
-0.2999999999999994,0.5045,0.5022601707684581,1.0,0.6686726847208291,1000,9,991,0
-0.24999999999999933,0.513,0.5065922920892495,0.999,0.6722745625841184,999,27,973,1
-0.1999999999999993,0.524,0.5123456790123457,0.996,0.6766304347826088,996,52,948,4
-0.14999999999999925,0.551,0.5272727272727272,0.986,0.6871080139372823,986,116,884,14
-0.0999999999999992,0.583,0.5470521541950113,0.965,0.6982633863965267,965,201,799,35
-0.049999999999999156,0.6155,0.5702127659574469,0.938,0.7092627599243857,938,293,707,62
8.881784197001252e-16,0.659,0.6078697421981004,0.896,0.7243330638641876,896,422,578,104
0.05000000000000093,0.679,0.6374807987711214,0.83,0.7211120764552562,830,528,472,170
0.10000000000000098,0.699,0.6799276672694394,0.752,0.7141500474833808,752,646,354,248
0.15000000000000102,0.711,0.7278617710583153,0.674,0.6998961578400831,674,748,252,326
0.20000000000000107,0.6975,0.765814266487214,0.569,0.6528973034997131,569,826,174,431
0.2500000000000011,0.682,0.8181818181818182,0.468,0.5954198473282443,468,896,104,532
0.30000000000000115,0.6555,0.8526077097505669,0.376,0.5218598195697431,376,935,65,624
0.3500000000000012,0.6265,0.891640866873065,0.288,0.43537414965986393,288,965,35,712
0.40000000000000124,0.5865,0.9178743961352657,0.19,0.3148301574150787,190,983,17,810
0.4500000000000013,0.561,0.9485294117647058,0.129,0.22711267605633803,129,993,7,871
0.5000000000000013,0.541,0.9361702127659575,0.088,0.16087751371115172,88,994,6,912
0.5500000000000014,0.527,0.9655172413793104,0.056,0.1058601134215501,56,998,2,944
0.6000000000000014,0.515,1.0,0.03,0.058252427184466014,30,1000,0,970
0.6500000000000015,0.5085,1.0,0.017,0.033431661750245825,17,1000,0,983
0.7000000000000015,0.504,1.0,0.008,0.015873015873015872,8,1000,0,992
0.7500000000000016,0.5015,1.0,0.003,0.005982053838484547,3,1000,0,997
0.8000000000000016,0.5,0.0,0.0,0.0,0,1000,0,1000
0.8500000000000016,0.5,0.0,0.0,0.0,0,1000,0,1000
0.9000000000000017,0.5,0.0,0.0,0.0,0,1000,0,1000
0.9500000000000017,0.5,0.0,0.0,0.0,0,1000,0,1000
1.0000000000000018,0.5,0.0,0.0,0.0,0,1000,0,1000
