kin_similarities,nonkin_similarities
0.45093402,0.74411726
0.60837513,0.7247582
0.5798509,-0.13739833
0.6183917,0.8402936
0.69950813,0.9160204
0.67946327,0.086457424
0.5808064,0.82915646
0.67946327,0.29567796
0.5798509,0.10723959
0.67946327,0.8772688
0.5798509,0.47515976
0.67946327,0.86392486
0.35522115,0.47745687
0.6183917,0.7720963
0.45093402,0.7837462
0.6772735,0.18287235
0.69950813,0.8894955
0.35522115,-0.22826177
0.57744867,0.84208465
0.7879077,0.75460327
0.5743054,0.3177181
0.5743054,0.8526869
0.7879077,0.34980774
0.85815513,0.73840445
0.8402119,0.47130045
0.5743054,0.81894565
0.5743054,0.7086962
0.5743054,0.91562974
0.7879077,0.21921833
0.7879077,0.22512892
0.8402119,0.68737584
0.8402119,0.5964485
0.8402119,0.6508808
0.93131185,0.74028677
0.8693894,0.86518085
0.82727325,0.33454275
0.8693894,0.9069874
0.7259275,0.51633173
0.5391763,0.5980347
0.79659617,0.39385977
0.7925401,0.36280054
0.9381539,0.8383333
0.51577467,0.6166533
0.9381539,0.38970202
0.6923908,0.9507403
0.7232462,0.40165293
0.9381539,0.35060313
0.8651666,0.78985167
0.7123663,0.6004584
0.8313385,0.9865602
0.80478466,0.6947061
0.51577467,0.78104126
0.82727325,0.4958132
0.85182846,0.89081585
0.5664892,0.22536269
0.495297,0.2736856
0.83394694,0.94523495
0.6923908,0.12244409
0.9381539,0.30944675
0.80478466,0.27020943
0.87028074,0.86123705
0.88990074,0.116845764
0.79385453,0.46009046
0.8651666,0.97766626
0.70305794,0.957193
0.52301383,0.71400166
0.79659617,0.33163446
0.7925401,0.93982637
0.5391763,0.07685681
0.7925401,0.4984959
0.79659617,0.94100225
0.7890746,0.39020205
0.7232462,0.7730264
0.79659617,-0.1522505
0.6923908,0.47462285
0.8778089,0.7162602
0.8089278,0.32771972
0.7123663,0.74192077
0.71355486,0.6870663
0.5664892,0.8276284
0.71355486,0.33972877
0.51577467,0.14210704
0.8089278,0.6492274
0.8313385,0.7938418
0.7611899,0.8523611
0.7259275,0.953742
0.7925401,0.35098037
0.79385453,0.05820545
0.7773749,0.9398145
0.70305794,0.8421837
0.9016503,0.5902575
0.89383423,0.70457345
0.7232462,0.046303343
0.7890746,0.843213
0.93131185,0.87339604
0.52301383,0.73738486
0.71355486,-0.0056886524
0.82705545,0.922578
0.8569312,0.7661108
0.82705545,0.6649205
0.93131185,0.69387984
0.8817861,0.64937556
0.8343125,0.8710556
0.93131185,0.7531526
0.7773749,0.54997104
0.88990074,0.81750435
0.7232462,-0.07802811
0.70305794,0.021780837
0.5391763,0.76048636
0.80478466,0.900061
0.495297,0.39075464
0.84506285,0.70640826
0.6776767,0.8990184
0.93131185,0.3219197
0.7232462,0.34182516
0.7259275,0.75437546
0.88990074,0.56471455
0.5627038,0.3643795
0.82727325,0.69401777
0.8089278,0.6291521
0.9243885,0.21033743
0.5627038,0.9620745
0.7123663,0.8702865
0.6551197,0.6701977
0.67391086,0.86982596
0.5743651,0.40843278
0.67276293,0.82616097
0.66882944,0.4473638
0.66882944,-0.2580849
0.5910022,0.22548531
0.51952934,0.8604286
0.91020477,0.7872635
0.6674113,0.8645629
0.5459242,0.15847617
0.640711,0.7434335
0.6939307,0.6981699
0.737131,-0.25076726
0.7429635,0.76642525
0.8950602,0.95806515
0.6592361,0.6197051
0.4855343,0.5275415
0.5576917,0.7715873
0.70115256,0.29929146
0.5340327,0.6793923
0.59801215,0.74023205
0.73066074,0.7640617
0.5576917,0.86772984
0.4855343,0.9915989
0.53590965,0.764197
0.87352455,0.6067443
0.51952934,0.79001564
0.67444855,0.8323581
0.5459242,0.4205857
0.6383542,0.40159208
0.6919231,0.9631432
0.5340327,0.57971656
0.8950602,0.8236338
0.6551197,-0.24059473
0.640711,0.8206792
0.65065646,0.84535986
0.67391086,0.96203804
0.6383542,-0.17450121
0.737131,0.27134073
0.59801215,0.1269589
0.67444855,0.28686044
0.68476737,0.65724546
0.66882944,0.2233944
0.51952934,0.28228512
0.5966563,0.44414553
0.5743651,0.57226914
0.90414554,0.6495974
0.887408,0.70684856
0.5600854,-0.18756458
0.7429635,0.074822344
0.6674113,0.25827333
0.4855343,0.80021155
0.49317756,0.8077334
0.7229229,0.49689266
0.6939307,0.49604237
0.737131,0.62162805
0.53590965,0.6456241
0.5459242,0.4614886
0.5576917,0.27414
0.67276293,-0.12457731
0.53590965,0.15930417
0.5340327,0.8068229
0.91020477,0.8543315
0.7327492,0.55529946
0.90414554,0.5878023
0.5600854,0.4233485
